環境基本計画 町村未確認先 改訂時期調査（十勝・オホーツク・釧路優先）,,,,,,,,,,
更新日,2026-08-25,対象,町村の未確認先39件,方針,改訂時期のみ。推測で終期を埋めず、環境基本計画と関連計画を区別,,,,,
十勝,169,幕別町,町,関連計画のみ,関連：地球温暖化対策実行計画等,,環境基本計画の終期は未確認,中（温対連携）,https://www.town.makubetsu.lg.jp/chosei/choseiunei/vision/ 町公式の計画・ビジョン一覧で関連計画を確認。環境基本計画の直接掲載は未確認,温対実行計画や総合計画の改定時期から環境基本計画の必要性を確認
十勝,170,池田町,町,改訂済,池田町環境基本計画（第3次改訂）,令和8年度(2026)改訂,終期要PDF確認,中（改訂済・周辺支援）,https://www.town.hokkaido-ikeda.lg.jp/kurashi/kankyo/430.html 町公式ページで第3次改訂を確認。HTML上では改訂後の計画期間終期が読めない,PDF本文で計画期間を確認。短期は進捗管理・施策評価・アンケート分析支援を確認
十勝,171,豊頃町,町,公式計画一覧確認,環境基本計画の直接掲載未確認,,,低（未確認継続）,https://www.toyokoro.jp/life/sub/9/index-2.html 町公式の計画・構想一覧では環境基本計画の直接掲載を確認できず,環境・廃棄物・温暖化関連の個別計画ページを継続確認
十勝,172,本別町,町,公式計画一覧確認,環境基本計画の直接掲載未確認,,,低（未確認継続）,https://www.town.honbetsu.hokkaido.jp/web/administration/administration07.html 町公式の行政計画一覧では環境基本計画の直接掲載を確認できず,環境担当ページ・温対計画の有無を継続確認
十勝,173,足寄町,町,関連計画のみ,関連：地球温暖化対策実行計画・ごみ処理関連計画等,,環境基本計画の終期は未確認,中（温対・廃棄物連携）,https://www.town.ashoro.hokkaido.jp/kurashi/about-town/c_keikaku/index.html 町公式の計画一覧で関連計画を確認。環境基本計画の直接掲載は未確認,関連計画の改定時期と環境基本計画の有無を継続確認
十勝,174,陸別町,町,関連計画のみ,関連：ゼロカーボン・地球温暖化対策実行計画,,環境基本計画の終期は未確認,中（温対連携）,https://www.rikubetsu.jp/chosei/keikaku/ 町公式の計画一覧でゼロカーボン・温暖化対策関連を確認。環境基本計画は未確認,温対実行計画の見直し時期から環境基本計画の有無を確認
十勝,175,浦幌町,町,関連計画のみ,関連：地球温暖化対策実行計画(区域施策編),令和7年度(2025),令和12年度(2030),中（温対連携）,https://www.urahoro.jp/news/detail.html?content=620 町公式ページで温対区域施策編R7-R12を確認。環境基本計画ではない,環境基本計画は未確認。温対区域施策編の進捗管理・改定支援を入口にする
オホーツク,124,美幌町,町,関連計画のみ,関連：地球温暖化対策実行計画等,令和7年度(2025)更新情報あり,環境基本計画の終期は未確認,中（温対連携）,https://www.town.bihoro.hokkaido.jp/life/4/20/95/ 町公式の環境・産業分野一覧で関連計画を確認。環境基本計画の直接掲載は未確認,温対計画PDFと環境基本計画の有無を継続確認
オホーツク,125,津別町,町,満了済・後継要確認,津別町環境基本計画,平成26年度(2014),令和5年度(2023),優先（満了済・後継要確認）,https://www.town.tsubetsu.hokkaido.jp/soshiki/juminkikaku/14/859.html 町公式ページでH26-R5の10年計画、R6検証・今後の課題協議を確認,次期計画の有無、R8補正・部分委託・随契支援の可能性を確認
オホーツク,126,斜里町,町,確認済,第2期斜里町環境基本計画,令和6年度(2024),令和15年度(2033),低（期間先）,https://www.town.shari.hokkaido.jp/soshikikarasagasu/kankyoka/keikakutou/2190.html 町公式ページで第2期計画R6-R15を確認,次期改定はR14年度頃から予算化確認
オホーツク,127,清里町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,公式情報検索では環境基本計画の計画期間を確認できず,公式計画一覧・環境担当ページでPDFの有無を継続確認
オホーツク,128,小清水町,町,関連計画のみ,関連：小清水町地球温暖化対策実行計画,令和6年度(2024),令和12年度(2030),中（温対連携）,https://www.town.koshimizu.hokkaido.jp/hotnews/detail/00000149.html 町公式ページで温対実行計画R6-R12を確認。環境基本計画ではない,環境基本計画は未確認。温対計画の進捗管理・見直し支援を入口にする
オホーツク,129,訓子府町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,総合計画等は確認できるが、環境基本計画の期間は未確認,公式計画一覧・環境担当課ページを継続確認
オホーツク,130,置戸町,町,公式計画一覧確認,環境基本計画の直接掲載未確認,,,低（未確認継続）,https://www.town.oketo.hokkaido.jp/chosei/seisaku/ 町公式の政策・計画一覧では環境基本計画の直接掲載を確認できず,環境担当ページ・温対計画の有無を継続確認
オホーツク,131,佐呂間町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,総合計画等は確認できるが、環境基本計画の期間は未確認,公式計画一覧・環境担当課ページを継続確認
オホーツク,132,遠軽町,町,確認済,第2次遠軽町環境基本計画,令和5年度(2023),令和14年度(2032)目安,低（期間先）,https://engaru.jp/life/page.php?id=306 町公式ページでR5年3月策定を確認。周期表PDF確認で『おおむね10年』をR5-R14目安として整理,次期改定はR13年度頃に予算化確認
オホーツク,133,湧別町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,総合計画等は確認できるが、環境基本計画の期間は未確認,公式計画一覧・環境担当課ページを継続確認
オホーツク,134,滝上町,町,関連計画のみ,関連：ゼロカーボン推進計画・地球温暖化対策実行計画(区域施策編),令和5年度(2023),令和12年度(2030),中（温対連携）,https://www.town.takinoue.hokkaido.jp/shokai/machizukuri/230331.html 町公式ページで温対区域施策編R5-R12を確認。環境基本計画ではない,環境基本計画は未確認。温対計画の見直し・事業化支援を入口にする
オホーツク,135,興部町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,総合計画等は確認できるが、環境基本計画の期間は未確認,公式計画一覧・環境担当課ページを継続確認
オホーツク,136,西興部村,村,上位計画のみ,関連：西興部村総合計画,令和4年度(2022),令和13年度(2031),低（環境基本計画未確認）,https://www.vill.nishiokoppe.lg.jp/section/kikaku/feeuub00000dorv8.html 総合計画R4-R13は確認。環境基本計画の期間ではない,後期計画作業と環境分野の個別計画有無を確認
オホーツク,137,雄武町,町,上位計画のみ,関連：第6期雄武町総合計画後期基本計画,令和5年度(2023),令和9年度(2027),中（総合計画R9・環境は未確認）,https://www.town.oumu.hokkaido.jp/soshiki/sougouseisakuka/keikaku_shisaku/sogokeikaku/dai6kisogokeikaku/keikakusakutei/koukikihonkeikaku/2590.html 総合計画後期R5-R9は確認。環境基本計画の期間ではない,総合計画改定に合わせた環境分野・温対分野の支援余地を確認
オホーツク,138,大空町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,総合計画等は確認できるが、環境基本計画の期間は未確認,公式計画一覧・環境担当課ページを継続確認
釧路,177,釧路町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,公式情報検索では環境基本計画の計画期間を確認できず,公式計画一覧・環境担当ページでPDFの有無を継続確認
釧路,178,厚岸町,町,一部確認,第2期厚岸町豊かな環境を守り育てる基本計画,,終期要PDF確認,優先（期間要確認）,https://www.akkeshi-town.jp/gyosei/seisaku/kankyo/kankyo19/ / https://www.akkeshi-town.jp/gyosei/seisaku/kankyo/kankyokekka/ 町公式で計画ページ・年次報告を確認。HTML上では計画期間未確認,PDF本文で計画期間だけ確認。年次報告2024があるため現行性は高い
釧路,179,浜中町,町,確認済,第3次浜中町環境基本計画,令和7年度(2025),令和17年度(2035)（令和18年3月まで）,低（改定直後）,https://www.townhamanaka.jp/kurashi_kankyou/kankyou/2017-0323-kankyoukihonkeikaku.html / https://www.townhamanaka.jp/kakuka/juuminkankyouka/kankyouseisaku/2024-0626-1005-52.html 町公式ページで第3次計画R7年3月策定、募集資料でR18年3月までの10年計画を確認,次期改定はR16年度頃。短期は進捗管理・アンケート分析支援を確認
釧路,180,標茶町,町,未確認継続,環境基本計画の直接掲載未確認,,,低（未確認継続）,公式情報検索では環境基本計画の計画期間を確認できず,公式計画一覧・環境担当ページでPDFの有無を継続確認
釧路,181,弟子屈町,町,一部確認,弟子屈町環境基本計画（外部DBで存在確認）,,公式終期未確認,優先（公式期間要確認）,外部DBで計画名は確認できるが、公式ページ・期間は未確認,公式PDFの有無と計画期間のみ確認。外部DB情報だけで終期を埋めない
釧路,182,鶴居村,村,一部確認,第2次鶴居村環境基本計画,,終期要PDF確認,優先（期間要確認）,https://www.vill.tsurui.lg.jp/soshikikarasagasu/kikakuzaiseika/muranokeikaku/804.html 村公式の計画一覧で第2次環境基本計画を確認。HTML上では期間未確認,PDF本文で計画期間だけ確認
釧路,183,白糠町,町,関連計画のみ,関連：地球温暖化対策実行計画,令和7年度(2025),令和12年度(2030),中（温対連携）,https://www.town.shiranuka.lg.jp/section/kikaku/h8v21a000000mwha.html 町公式で温対実行計画R7-R12を確認。環境基本計画ではない,環境基本計画は未確認。温対計画の進捗管理・改定支援を入口にする
