① 令和9年度末で計画期間満了となる先 ｜ 令和9年度当初予算が主戦場,,,,,,,,,,
区分,都道府県,自治体名,義務区分,現行計画名称,計画期間,確認状況,なぜ狙うか,接触時期,初回に持っていくもの,出典・確認先
◆別扱い,北海道,津別町,努力義務,津別町環境基本計画,平成26年度～令和5年度（10年間・満了済）,確認済,令和5年度末で満了済。令和6年度に検証と今後の課題の協議を行っている一方、後継計画の策定状況は未確認。満了したまま次期が立ち上がっていない可能性がある,後継計画の有無を早急に確認する。未策定なら令和8年度補正または令和9年度当初での策定を提案できる,①後継計画の策定状況の確認 ②満了後の空白期間のリスク整理 ③町村向けの軽量な策定メニューと概算見積,津別町 環境基本計画ページ https://www.town.tsubetsu.hokkaido.jp/soshiki/juminkikaku/14/859.html（06_町村改訂時期_20260825 行125）
◆別扱い,北海道,苫小牧市,努力義務,苫小牧市第4次環境基本計画～第1期ゼロカーボン推進計画～,令和5年度～令和12年度（8年間・計画期間中）,確認済,R9満了ではないが、令和8年度第1回環境審議会で計画改定について諮問済。終期だけを見ると取りこぼす期間中改定案件,発注・受託範囲を確認。範囲外の二次分析・財源対応表・事業者支援で入る,①既委託範囲確認 ②産業・業務部門の重点分野仮説 ③公共施設脱炭素との接続提案,苫小牧市公式 環境基本計画ページ https://www.city.tomakomai.hokkaido.jp/shizen/kankyohozen/suishin/kihonkeikaku.html ／環境審議会 https://www.city.tomakomai.hokkaido.jp/shizen/kankyohozen/suishin/shingikai.html
◆別扱い,福島県,いわき市,義務（中核市）,いわき市環境基本計画（第三次）,令和3年度～令和12年度（計画期間中）,確認済,計画期間中だが、令和8年に『環境基本計画一部改定業務委託』を公募型プロポーザルで発注している。計画期間の途中でも案件が立つ実例,改定業務は発注済みのため新規受託は困難。範囲外の支援に絞る,既委託範囲の確認。範囲外の二次分析、財源対応表、素案レビューの提案,いわき市 一部改定版（素案）／公募型プロポーザル公告
■ 確認済：令和9年度満了に該当しない（次の接触時期をカレンダーに置く先）,,,,,,,,,,
－非該当,北海道,札幌市,義務（指定都市）,第2次札幌市環境基本計画,平成30年度～令和12年度,確認済,令和12年度満了のため、改定業務は令和12年度・予算は令和12年度当初。接触は令和11年度の予算要求期,令和11年度（2029年）夏～秋,中間見直しの規定があれば期間中でも案件化の余地。まず規定の有無を確認する,札幌市 資料編PDF（2018-2030）
－非該当,宮城県,仙台市,義務（指定都市）,杜の都環境プラン（仙台市環境基本計画）,令和3年度～令和12年度,確認済,同上,令和11年度（2029年）夏～秋,同上,仙台市サイト／概要版
－非該当,岩手県,盛岡市,義務（中核市）,盛岡市環境基本計画（第三次）,令和3年度～令和12年度,確認済,同上,令和11年度（2029年）夏～秋,同上,盛岡市 第三次環境基本計画ページ
－非該当,青森県,八戸市,義務（中核市）,第3次八戸市環境基本計画,令和5年度～令和12年度,確認済,同上。令和5年9月策定と新しいため全面改定の余地は小さい,令和11年度（2029年）夏～秋,同上,八戸市 第3次環境基本計画PDF
－非該当,山形県,山形市,義務（中核市）,第4次山形市環境基本計画,令和3年度（推定）～令和12年度,推定,同上,令和11年度（2029年）夏～秋,開始年度は推定。終期は令和12年度で確認済,山形市 第4次環境基本計画ページ
－非該当,岩手県,岩手県,義務（県）,岩手県環境基本計画,令和3年度～令和12年度,確認済,県計画は令和12年度満了。県内市町村への波及は県の改定後に来る,令和11年度（2029年）夏～秋,県は市町村支援の枠組みを持つ場合があるため、期間中でも支援メニューの確認は行う,岩手県 環境基本計画ページ
,,,,,,,,,,
確定4件（旭川市・士幌町・秋田市・弘前市）。北海道分は旭川市・士幌町がR9満了確認済で、令和8年度の予算要求期（8～10月）が接触の山場。,,,,,,,,,,
苫小牧市は第4次計画が令和5年度～令和12年度のためR9満了ではない。ただし令和8年度に環境審議会へ改定諮問が出ており、期間中改定案件として別管理する。,,,,,,,,,,
『要確認』の団体を該当なしと読まないこと。特に函館市・青森市・福島市は中核市（義務団体）でありながら終期が特定できておらず、確認優先度が最も高い。,,,,,,,,,,
本シートは、02_営業先マスタの終期欄が埋まるたびに行を追加していく運用を前提にしている。,,,,,,,,,,
■ 2026-08-25 町村調査：計画はあるが期間が確認できていない先（PDFで終期だけ確認する）,,,,,,,,,,
？要確認,北海道,上士幌町,努力義務,第2次上士幌町環境基本計画,令和6年度(2024)策定・終期未確認,一部確認,令和6年度策定のため、R9満了ではなくR6策定直後の可能性が高い。ただしHTML上で終期が読めず確定していない,PDF本文の計画期間だけ確認する,―,https://www.kamishihoro.jp/page/00000416（06シート 行160）
？要確認,北海道,新得町,努力義務,新得町環境基本計画・地球温暖化対策実行計画(区域施策編)・気候変動適応計画,策定済・終期未確認,一部確認,環境基本計画と温対・適応計画を一体で掲載している。一体計画のため改定時の業務範囲が広く、単価が伸びやすい,PDF本文で改訂時期・終期を確認する,―,https://www.shintoku-town.jp/gyousei/koukai_kouhyou/tyoumin/kankyoukihonkeikaku/（06シート 行162）
？要確認,北海道,池田町,努力義務,池田町環境基本計画（第3次改訂）,令和8年度(2026)改訂・終期未確認,一部確認,令和8年度に改訂済み。短期は進捗管理・施策評価・アンケート分析の支援余地,PDF本文で計画期間を確認する,―,https://www.town.hokkaido-ikeda.lg.jp/kurashi/kankyo/430.html（06シート 行170）
？要確認,北海道,厚岸町,努力義務,第2期厚岸町豊かな環境を守り育てる基本計画,終期未確認,一部確認,年次報告が2024年まで公表されており現行性は高い。計画名が『環境基本計画』でないため名称検索から漏れやすい,PDF本文で計画期間だけ確認する,―,https://www.akkeshi-town.jp/gyosei/seisaku/kankyo/kankyo19/（06シート 行178）
？要確認,北海道,鶴居村,努力義務,第2次鶴居村環境基本計画,終期未確認,一部確認,村公式の計画一覧で第2次計画を確認。HTML上では期間が読めない,PDF本文で計画期間だけ確認する,―,https://www.vill.tsurui.lg.jp/soshikikarasagasu/kikakuzaiseika/muranokeikaku/804.html（06シート 行182）
？要確認,北海道,弟子屈町,努力義務,弟子屈町環境基本計画（外部DBで存在確認）,公式終期未確認,一部確認,外部データベースで計画名は確認できるが、公式ページ・期間は未確認。外部DB情報だけで終期を埋めないこと,公式PDFの有無と計画期間のみ確認する,―,外部DB（06シート 行181）
■ 2026-08-25 追加調査：確認済で令和9年度満了に該当しない先,,,,,,,,,,
－非該当,青森県,青森県,義務（県）,第6次青森県環境計画（青森県環境総合プラン）,令和6年度～令和10年度（5年間）,確認済,令和10年度満了。県計画としては短い5年周期のため、次の改定が比較的早く来る,令和9年度（2027年）夏～秋に予算要求期の接触,県の市町村支援メニューの確認は期間中でも行う,青森県 第6次青森県環境計画
－非該当,宮城県,宮城県,義務（県）,宮城県環境基本計画（第4期）,令和3年度～令和12年度,確認済,令和12年度満了,令和11年度（2029年）夏～秋,県の市町村支援メニューの確認は期間中でも行う,宮城県公式サイト 環境基本計画（第4期）
－非該当,山形県,山形県,義務（県）,第4次山形県環境計画,令和3年度～令和12年度（10年間）,確認済,令和12年度満了。従前リストの『第3次』は平成23年度～令和2年度で終了済のため計画名を訂正した,令和11年度（2029年）夏～秋,県の市町村支援メニューの確認は期間中でも行う,山形県 第4次山形県環境計画（令和3年3月策定）
－非該当,福島県,会津若松市,努力義務,会津若松市第3期環境基本計画,令和6年度～令和12年度（7年間）,確認済,令和12年度満了,令和11年度（2029年）夏～秋,―,会津若松市 第3期環境基本計画（令和6年3月策定）
－非該当,北海道,釧路市,努力義務,第2次釧路市環境基本計画【改定版】,令和3年度～令和12年度,確認済,令和12年度満了。ただし国・北海道の温暖化計画改定を受け、令和6年3月に低炭素社会の形成の目標を一部改定した実績がある,令和11年度（2029年）夏～秋。ただし部分改定の余地は随時,国の2035年度60%・2040年度73%を踏まえた再度の部分改定の提案,釧路市 第2次環境基本計画【改定版】
－非該当,北海道,千歳市,努力義務,第3次千歳市環境基本計画,令和3年度～令和12年度,確認済,令和12年度満了,令和11年度（2029年）夏～秋,―,千歳市 第3次環境基本計画
－非該当,北海道,石狩市,努力義務,石狩市環境基本計画（第3次）,令和5年度～（計画期間20年）,確認済,20年計画のため改定需要は当面ない。中間見直しの規定の有無だけ確認する,―,―,石狩市 環境基本計画（令和5年3月策定）
－非該当,宮城県,石巻市,努力義務,石巻市環境基本計画（第2次）,令和8年度～令和17年度（10年間）,確認済,令和8年3月策定で直後のため新規受託は難しい。進捗管理・アンケート二次分析など周辺支援の余地,―,―,石巻市 環境基本計画（令和8年3月）
■ 2026-08-25 追加調査：終期が確認できず、令和9年度満了の可能性を排除できない先,,,,,,,,,,
？要確認,北海道,北海道,義務（道）,北海道環境基本計画［第3次計画］,令和3年度～（終期未確認）,一部確認,令和3年3月策定。複数回検索したが終期はHTML上で確認できず。道は市町村支援の枠組みを持つ可能性があり、営業ルートとして最優先で当たる価値がある,終期確認と併せて道の市町村支援メニューを確認,―,北海道 環境生活部環境政策課
？要確認,秋田県,秋田県,義務（県）,第3次秋田県環境基本計画,令和3年度～（終期未確認）,一部確認,令和3年3月31日策定。10年計画なら令和12年度満了だが未確認,終期を確認,―,秋田県 環境基本計画
？要確認,福島県,福島県,義務（県）,福島県環境基本計画（第5次）,令和4年度～（終期未確認）,一部確認,第4次が令和3年度で終了し、令和3年11月の環境審議会答申を経て第5次を策定。終期は未確認,終期を確認,―,福島県 環境基本計画（第5次）
？要確認,北海道,函館市,義務（中核市）,函館市環境基本計画［第3次計画］,令和2年度～（終期未確認）,一部確認,令和2年3月策定。複数回検索したが終期はHTML上で確認できず。8年計画なら令和9年度満了で該当するため、確認優先度が最も高い,計画PDFで終期を最優先確認,―,函館市／EPO北海道
？要確認,青森県,青森市,義務（中核市）,環境基本計画は確認できず（地球温暖化対策実行計画はあり）,（計画の有無から要確認）,公式検索確認,検索では環境基本計画を確認できず。区域施策編（令和7年3月改定）・事務事業編（第4期）はある。中核市のため区域施策編は策定義務,環境基本計画の有無そのものを確認。未策定なら新規策定提案の対象,―,青森市サイト
？要確認,北海道,帯広市,努力義務,第三期帯広市環境基本計画,令和2年度～（終期未確認）,一部確認,令和2年3月策定。第二期は平成22年度～平成31年度,計画PDFで終期を確認,―,帯広市 第三期環境基本計画
？要確認,北海道,北広島市,努力義務,第3次北広島市環境基本計画,令和3年度～（終期未確認）,一部確認,第2次が令和2年度で10年の期間を終了。令和5年2月のゼロカーボンシティ宣言を受け令和5年4月に地球環境分野を一部改定,計画PDFで終期を確認,―,北広島市 第3次環境基本計画
？要確認,北海道,北見市,努力義務,第2次北見市環境基本計画（改定版）,（終期未確認）,一部確認,改定版の掲載を確認。計画期間はHTML上で読めず,計画PDFで計画期間を確認,―,北見市 第2次環境基本計画（改定版）
？要確認,宮城県,大崎市,努力義務,第2次大崎市環境基本計画,令和2年度～（終期未確認）,一部確認,令和2年3月策定・10年後を見据えた計画。アクションプランも別途あり,計画PDFで終期を確認,―,大崎市 第2次環境基本計画
？要確認,山形県,鶴岡市,努力義務,第2次鶴岡市環境基本計画,（終期未確認）,一部確認,第2次の掲載を確認。計画期間はHTML上で読めず,計画PDFで計画期間を確認,―,鶴岡市 第2次環境基本計画
？要確認,青森県,十和田市,努力義務,環境基本計画は確認できず（環境保全率先行動計画・温対実行計画はあり）,（計画の有無から要確認）,公式検索確認,環境保全率先行動計画『とわだエコ・オフィスプラン』第5次が令和4年4月から令和8年度で満了。これを入口に環境基本計画の有無を確認する,率先行動計画の改定を入口に接触,―,十和田市サイト
？要確認,北海道,小樽市,努力義務,（環境基本計画の期間を確認できず）,（未確認）,公式検索確認,『小樽市の環境』（年次報告）と緑の基本計画は確認できるが、環境基本計画の期間は確認できず,計画一覧・生活環境部ページで継続確認,―,小樽市サイト
